Ministry of Finance Economic Survey,,,,,,
http://indiabudget.nic.in/,,,,,,
Year,State,Person,Male,Female,Health Exp,Units
2003,Andaman & Nicobar Islands,18,12,24,,
2003,Andhra Pradesh,59,59,59,,
2003,Arunachal Pradesh,34,31,38,,
2003,Assam,67,69,65,,
2003,Bihar,60,59,62,,
2003,Chandigarh,19,21,16,,
2003,Chhatisgarh,70,68,71,,
2003,Dadra & Nagar Haveli,54,69,39,,
2003,Daman & Diu,39,43,34,,
2003,Delhi,28,28,29,,
2003,Goa,16,15,18,,
2003,Gujarat,57,54,61,,
2003,Haryana,59,54,65,,
2003,Himachal Pradesh,49,54,44,,
2003,Jammu & Kashmir,44,46,41,,
2003,Jharkhand,51,50,52,,
2003,Karnataka,52,51,52,,
2003,Kerala,11,11,12,,
2003,Lakshadweep,26,21,32,,
2003,Madhya Pradesh,82,77,86,,
2003,Maharashtra,42,32,54,,
2003,Manipur,16,18,13,,
2003,Meghalaya,57,56,59,,
2003,Mizoram,16,16,17,,
2003,Nagaland,NA,NA,NA,,
2003,Orissa,83,82,83,,
2003,Puducherry,24,29,18,,
2003,Punjab,49,46,52,,
2003,Rajasthan,75,70,81,,
2003,Sikkim,33,34,31,,
2003,Tamil Nadu,43,44,41,,
2003,Tripura,35,36,27,,
2003,Uttar Pradesh,76,69,84,,
2003,Uttarakhand,41,31,53,,
2003,West Bengal,46,45,46,,
2005,Andaman & Nicobar Islands,NA,NA,NA,NA,NA
2005,Andhra Pradesh,57,56,58,118478,Lakh
2005,Arunachal Pradesh,37,29,46,7294,Lakh
2005,Assam,68,66,69,34262,Lakh
2005,Bihar,61,60,62,50446,Lakh
2005,Chandigarh,NA,NA,NA,NA,NA
2005,Chhatisgarh,63,63,64,24538,Lakh
2005,Dadra & Nagar Haveli,NA,NA,NA,NA,NA
2005,Daman & Diu,NA,NA,NA,NA,NA
2005,Delhi,35,33,37,66746,Lakh
2005,Goa,16,14,17,11033,Lakh
2005,Gujarat,54,52,55,82777,Lakh
2005,Haryana,60,51,70,32492,Lakh
2005,Himachal Pradesh,49,47,51,27525,Lakh
2005,Jammu & Kashmir,50,47,55,44042,Lakh
2005,Jharkhand,50,43,58,28533,Lakh
2005,Karnataka,50,48,51,85876,Lakh
2005,Kerala,14,14,15,78395,Lakh
2005,Lakshadweep,NA,NA,NA,NA,NA
2005,Madhya Pradesh,76,72,79,74129,Lakh
2005,Maharashtra,36,34,37,174581,Lakh
2005,Manipur,13,12,13,5437,Lakh
2005,Meghalaya,49,48,51,7849,Lakh
2005,Mizoram,20,18,22,6254,Lakh
2005,Nagaland,18,19,18,7877,Lakh
2005,Orissa,75,74,77,53661,Lakh
2005,Puducherry,28,29,27,10471,Lakh
2005,Punjab,44,41,48,55092,Lakh
2005,Rajasthan,68,64,72,89293,Lakh
2005,Sikkim,30,29,31,4846,Lakh
2005,Tamil Nadu,37,35,39,111130,Lakh
2005,Tripura,31,30,31,8315,Lakh
2005,Uttar Pradesh,73,71,75,163109,Lakh
2005,Uttarakhand,42,37,48,17700,Lakh
2005,West Bengal,38,38,39,118085,Lakh
2006,Andaman & Nicobar Islands,NA,NA,NA,NA,NA
2006,Andhra Pradesh,56,55,58,127787,Lakh
2006,Arunachal Pradesh,40,38,43,6688,Lakh
2006,Assam,67,67,68,32700,Lakh
2006,Bihar,60,58,63,76023,Lakh
2006,Chandigarh,NA,NA,NA,NA,NA
2006,Chhatisgarh,61,59,62,26018,Lakh
2006,Dadra & Nagar Haveli,NA,NA,NA,NA,NA
2006,Daman & Diu,NA,NA,NA,NA,NA
2006,Delhi,37,36,39,76731,Lakh
2006,Goa,15,16,14,12196,Lakh
2006,Gujarat,53,52,54,91794,Lakh
2006,Haryana,57,57,58,38542,Lakh
2006,Himachal Pradesh,50,45,55,30770,Lakh
2006,Jammu & Kashmir,52,51,53,50545,Lakh
2006,Jharkhand,49,46,52,67817,Lakh
2006,Karnataka,48,46,50,100406,Lakh
2006,Kerala,15,14,16,83708,Lakh
2006,Lakshadweep,NA,NA,NA,NA,NA
2006,Madhya Pradesh,74,72,77,12196,Lakh
2006,Maharashtra,35,35,36,198710,Lakh
2006,Manipur,11,10,13,7022,Lakh
2006,Meghalaya,53,53,52,8534,Lakh
2006,Mizoram,25,24,25,6642,Lakh
2006,Nagaland,20,17,23,9790,Lakh
2006,Orissa,73,73,74,37616,Lakh
2006,Puducherry,28,20,36,10471,Lakh
2006,Punjab,44,39,50,62981,Lakh
2006,Rajasthan,67,65,69,97956,Lakh
2006,Sikkim,33,26,40,4610,Lakh
2006,Tamil Nadu,37,36,37,110790,Lakh
2006,Tripura,36,31,41,8763,Lakh
2006,Uttar Pradesh,71,70,73,215418,Lakh
2006,Uttarakhand,43,42,44,25587,Lakh
2006,West Bengal,38,37,40,132006,Lakh
2007,Andaman & Nicobar Islands,NA,NA,NA,NA,NA
2007,Andhra Pradesh,54,54,55,149447,Lakh
2007,Arunachal Pradesh,37,35,38,8743,Lakh
2007,Assam,66,64,67,49036,Lakh
2007,Bihar,58,57,58,84782,Lakh
2007,Chandigarh,NA,NA,NA,NA,NA
2007,Chhatisgarh,59,58,61,27982,Lakh
2007,Dadra & Nagar Haveli,NA,NA,NA,NA,NA
2007,Daman & Diu,NA,NA,NA,NA,NA
2007,Delhi,36,36,36,93564,Lakh
2007,Goa,13,11,14,13298,Lakh
2007,Gujarat,52,50,54,95822,Lakh
2007,Haryana,55,55,56,41041,Lakh
2007,Himachal Pradesh,47,45,49,35540,Lakh
2007,Jammu & Kashmir,51,49,52,53868,Lakh
2007,Jharkhand,48,47,49,68720,Lakh
2007,Karnataka,47,46,47,103604,Lakh
2007,Kerala,13,12,13,98005,Lakh
2007,Lakshadweep,NA,NA,NA,NA,NA
2007,Madhya Pradesh,72,72,72,89800,Lakh
2007,Maharashtra,34,33,35,197532,Lakh
2007,Manipur,12,9,15,6124,Lakh
2007,Meghalaya,56,55,56,8971,Lakh
2007,Mizoram,23,21,25,7296,Lakh
2007,Nagaland,21,21,20,10542,Lakh
2007,Orissa,71,70,72,47951,Lakh
2007,Puducherry,25,15,35,16263,Lakh
2007,Punjab,43,42,45,62198,Lakh
2007,Rajasthan,65,63,67,107990,Lakh
2007,Sikkim,34,26,43,4924,Lakh
2007,Tamil Nadu,35,34,36,130972,Lakh
2007,Tripura,39,37,41,10199,Lakh
2007,Uttar Pradesh,69,67,70,236811,Lakh
2007,Uttarakhand,48,47,48,24086,Lakh
2007,West Bengal,37,36,37,140892,Lakh
2008,Andaman & Nicobar Islands,NA,NA,NA,NA,NA
2008,Andhra Pradesh,52,51,54,204240,Lakh
2008,Arunachal Pradesh,32,30,34,9654,Lakh
2008,Assam,64,62,65,55918,Lakh
2008,Bihar,56,53,58,99675,Lakh
2008,Chandigarh,NA,NA,NA,NA,NA
2008,Chhatisgarh,57,57,58,32253,Lakh
2008,Dadra & Nagar Haveli,NA,NA,NA,NA,NA
2008,Daman & Diu,NA,NA,NA,NA,NA
2008,Delhi,35,34,37,112665,Lakh
2008,Goa,10,10,11,14503,Lakh
2008,Gujarat,50,49,51,110174,Lakh
2008,Haryana,54,51,57,46848,Lakh
2008,Himachal Pradesh,44,43,45,39287,Lakh
2008,Jammu & Kashmir,49,48,51,61215,Lakh
2008,Jharkhand,46,45,48,50696,Lakh
2008,Karnataka,45,44,46,127169,Lakh
2008,Kerala,12,10,13,108966,Lakh
2008,Lakshadweep,NA,NA,NA,NA,NA
2008,Madhya Pradesh,70,68,72,97814,Lakh
2008,Maharashtra,33,33,33,239537,Lakh
2008,Manipur,14,13,15,8101,Lakh
2008,Meghalaya,58,58,58,10282,Lakh
2008,Mizoram,37,37,38,8368,Lakh
2008,Nagaland,26,23,29,11415,Lakh
2008,Orissa,69,68,70,61537,Lakh
2008,Puducherry,25,22,27,18580,Lakh
2008,Punjab,41,39,43,68355,Lakh
2008,Rajasthan,63,60,65,117869,Lakh
2008,Sikkim,33,34,32,6495,Lakh
2008,Tamil Nadu,31,30,33,144223,Lakh
2008,Tripura,34,34,35,10641,Lakh
2008,Uttar Pradesh,67,64,70,261587,Lakh
2008,Uttarakhand,44,44,45,27779,Lakh
2008,West Bengal,35,34,37,154879,Lakh
2009,Andaman & Nicobar Islands,NA,NA,NA,NA,NA
2009,Andhra Pradesh,49,48,50,238613,Lakh
2009,Arunachal Pradesh,32,31,34,16478,Lakh
2009,Assam,61,58,64,76608,Lakh
2009,Bihar,52,52,52,102878,Lakh
2009,Chandigarh,NA,NA,NA,NA,NA
2009,Chhatisgarh,54,50,57,43404,Lakh
2009,Dadra & Nagar Haveli,NA,NA,NA,NA,NA
2009,Daman & Diu,NA,NA,NA,NA,NA
2009,Delhi,33,31,34,147579,Lakh
2009,Goa,11,7,14,21610,Lakh
2009,Gujarat,48,47,48,121720,Lakh
2009,Haryana,51,48,53,64373,Lakh
2009,Himachal Pradesh,45,44,45,42173,Lakh
2009,Jammu & Kashmir,45,41,51,65785,Lakh
2009,Jharkhand,44,42,46,62916,Lakh
2009,Karnataka,41,41,42,150703,Lakh
2009,Kerala,12,10,13,135008,Lakh
2009,Lakshadweep,NA,NA,NA,NA,NA
2009,Madhya Pradesh,67,66,68,114796,Lakh
2009,Maharashtra,31,28,33,275729,Lakh
2009,Manipur,16,14,18,9508,Lakh
2009,Meghalaya,59,59,59,11863,Lakh
2009,Mizoram,36,33,38,15750,Lakh
2009,Nagaland,26,23,28,12074,Lakh
2009,Orissa,65,65,66,80020,Lakh
2009,Puducherry,22,25,20,15794,Lakh
2009,Punjab,38,37,39,75102,Lakh
2009,Rajasthan,59,58,61,168289,Lakh
2009,Sikkim,34,35,33,7516,Lakh
2009,Tamil Nadu,28,27,29,189506,Lakh
2009,Tripura,31,33,30,12688,Lakh
2009,Uttar Pradesh,63,62,65,287571,Lakh
2009,Uttarakhand,41,41,42,9525,Lakh
2009,West Bengal,33,33,33,176413,Lakh
2010,Andaman & Nicobar Islands,NA,NA,NA,NA,NA
